Date,Price,Open,High,Low,Vol.,Chg. %,Unnamed: 7
2026-02-27,200.00,190.00,200.00,192.0,3480000.0,5.26%,
2026-02-26,190.00,210.00,210.00,188.0,14620000.0,-8.21%,
2026-02-25,207.00,210.00,207.00,207.0,3710000.0,-1.43%,
2026-02-24,210.00,209.00,211.10,206.0,6000000.0,0.48%,
2026-02-23,209.00,210.00,214.00,209.0,6010000.0,-0.48%,
2026-02-20,210.00,194.00,210.00,199.0,7450000.0,8.25%,
2026-02-19,194.00,190.00,194.00,194.0,2550000.0,2.11%,
2026-02-18,190.00,190.00,190.00,190.0,2600000.0,0.00%,
2026-02-17,190.00,198.00,200.00,190.0,12280000.0,-4.04%,
2026-02-16,198.00,188.50,201.00,191.3,13700000.0,5.04%,
2026-02-13,188.50,183.00,188.50,184.4,7320000.0,3.01%,
2026-02-12,183.00,186.00,184.50,183.0,7460000.0,-1.61%,
2026-02-11,186.00,186.80,189.50,186.0,13110000.0,-0.43%,
2026-02-10,186.80,169.90,186.80,179.0,20010000.0,9.95%,
2026-02-09,169.90,167.00,169.90,167.5,6110000.0,1.74%,
2026-02-06,167.00,165.00,168.80,164.9,11360000.0,1.21%,
2026-02-05,165.00,165.00,167.00,164.9,7820000.0,0.00%,
2026-02-04,165.00,157.00,165.00,161.5,10500000.0,5.10%,
2026-02-03,157.00,157.00,157.00,157.0,1040000.0,0.00%,
2026-02-02,157.00,157.00,157.00,157.0,1560000.0,0.00%,
2026-01-30,157.00,157.00,157.00,157.0,1730000.0,0.00%,
2026-01-29,157.00,157.00,157.00,157.0,2630000.0,0.00%,
2026-01-28,157.00,157.00,157.00,157.0,1940000.0,0.00%,
,Highest : 214.00,Lowest : 157.00,Chg. % : 27.39%,,,,
